"Date of Census","Total Adults in Shelter","Total Children in Shelter","Total Individuals in Shelter","Single Adult Men in Shelter","Single Adult Women in Shelter","Total Single Adults in Shelter","Families with Children in Shelter","Adults in Families with Children in Shelter","Children in Families with Children in Shelter","Total Individuals in Families with Children in Shelter ","Adult Families in Shelter","Individuals in Adult Families in Shelter"
"10/16/2025","54989","30953","85942","16896","6693","23589","17907","26582","30953","57535","2231","4818"
"10/15/2025","55087","30973","86060","16952","6697","23649","17912","26600","30973","57573","2239","4838"
"10/14/2025","55103","31000","86103","16936","6690","23626","17942","26633","31000","57633","2243","4844"
"10/13/2025","55115","30941","86056","16979","6699","23678","17908","26599","30941","57540","2238","4838"
"10/12/2025","55011","30953","85964","16907","6654","23561","17922","26622","30953","57575","2233","4828"
"10/11/2025","54885","30947","85832","16826","6641","23467","17914","26610","30947","57557","2224","4808"
"10/10/2025","54848","30868","85716","16844","6655","23499","17858","26548","30868","57416","2221","4801"
"10/09/2025","54972","30954","85926","16870","6653","23523","17898","26608","30954","57562","2240","4841"
"10/08/2025","54942","30971","85913","16814","6633","23447","17919","26653","30971","57624","2240","4842"
"10/07/2025","54850","30924","85774","16760","6630","23390","17873","26610","30924","57534","2245","4850"
"10/06/2025","54868","30946","85814","16793","6589","23382","17900","26659","30946","57605","2237","4827"
"10/05/2025","54817","31013","85830","16696","6602","23298","17919","26680","31013","57693","2243","4839"
"10/04/2025","54792","31005","85797","16677","6584","23261","17921","26691","31005","57696","2243","4840"
"10/03/2025","54750","30971","85721","16706","6548","23254","17888","26654","30971","57625","2244","4842"
"10/02/2025","54849","30951","85800","16783","6582","23365","17890","26637","30951","57588","2246","4847"
"10/01/2025","54850","30978","85828","16756","6584","23340","17903","26648","30978","57626","2254","4862"
"09/30/2025","54871","31034","85905","16729","6579","23308","17933","26696","31034","57730","2256","4867"
"09/29/2025","54863","30992","85855","16731","6573","23304","17909","26672","30992","57664","2263","4887"
"09/28/2025","54828","31023","85851","16708","6533","23241","17939","26710","31023","57733","2258","4877"
"09/27/2025","54738","30978","85716","16682","6501","23183","17916","26683","30978","57661","2256","4872"
"09/26/2025","54757","30953","85710","16714","6497","23211","17902","26669","30953","57622","2257","4877"
"09/25/2025","54769","30945","85714","16711","6525","23236","17878","26650","30945","57595","2260","4883"
"09/24/2025","54819","30926","85745","16759","6542","23301","17863","26640","30926","57566","2258","4878"
"09/23/2025","54698","30868","85566","16712","6523","23235","17833","26593","30868","57461","2253","4870"
"09/22/2025","54691","30956","85647","16654","6527","23181","17863","26640","30956","57596","2252","4870"
"09/21/2025","54704","31043","85747","16617","6498","23115","17906","26698","31043","57741","2262","4891"
"09/20/2025","54576","31023","85599","16524","6487","23011","17903","26687","31023","57710","2257","4878"
"09/19/2025","54500","30959","85459","16557","6473","23030","17853","26614","30959","57573","2247","4856"
"09/18/2025","54623","31015","85638","16619","6480","23099","17891","26659","31015","57674","2250","4865"
"09/17/2025","54755","31019","85774","16743","6499","23242","17889","26656","31019","57675","2246","4857"
"09/16/2025","54658","30996","85654","16703","6454","23157","17881","26664","30996","57660","2239","4837"
"09/15/2025","54720","31053","85773","16715","6433","23148","17918","26703","31053","57756","2253","4869"
"09/14/2025","54585","31048","85633","16614","6395","23009","17919","26703","31048","57751","2255","4873"
"09/13/2025","54563","31098","85661","16573","6396","22969","17931","26726","31098","57824","2253","4868"
"09/12/2025","54647","31072","85719","16676","6396","23072","17919","26704","31072","57776","2256","4871"
"09/11/2025","54713","31088","85801","16723","6413","23136","17930","26734","31088","57822","2242","4843"
"09/10/2025","54721","31118","85839","16697","6441","23138","17942","26755","31118","57873","2235","4828"
"09/09/2025","54610","31072","85682","16652","6416","23068","17912","26721","31072","57793","2231","4821"
