time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-17T14:21:15.020Z,37.671833,-118.8786697,0.62,1.43,md,11,126,0.02737,0.04,nc,nc72753285,2017-01-17T14:36:03.007Z,"8km ENE of Mammoth Lakes, California",earthquake,0.3,0.94,0.2,11,automatic,nc,nc
2017-01-17T14:18:56.230Z,35.3971667,-117.8206667,9.1,1.02,ml,19,133,0.1311,0.11,ci,ci37569959,2017-01-17T14:37:03.070Z,"17km W of Johannesburg, CA",earthquake,0.27,1.03,0.159,19,reviewed,ci,ci
2017-01-17T14:13:46.810Z,35.729332,-121.0879974,6.66,2.28,md,34,50,0.07125,0.08,nc,nc72753280,2017-01-17T14:18:02.962Z,"13km NE of San Simeon, California",earthquake,0.23,0.62,0.16,36,automatic,nc,nc
2017-01-17T14:00:39.232Z,63.607,-147.6044,4.1,1.9,ml,,,,0.91,ak,ak15086269,2017-01-17T14:13:40.948Z,"71km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T13:46:04.880Z,33.5768333,-116.788,12.43,0.54,ml,22,64,0.02609,0.22,ci,ci37569943,2017-01-17T14:36:17.596Z,"11km WNW of Anza, CA",earthquake,0.47,0.97,0.173,13,reviewed,ci,ci
2017-01-17T13:39:42.860Z,33.679,-116.7075,16.4,2.39,ml,74,19,0.03256,0.17,ci,ci37569935,2017-01-17T14:40:10.490Z,"7km S of Idyllwild, CA",earthquake,0.15,0.3,0.198,26,reviewed,ci,ci
2017-01-17T13:04:35.600Z,58.1899,-136.9753,7.5,2.4,ml,,,,0.65,ak,ak15085844,2017-01-17T13:14:26.867Z,"76km WSW of Gustavus, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T12:37:19.520Z,36.5315,-116.311,9.5,1.4,ml,32,59.25,0.049,,nn,nn00574380,2017-01-17T12:47:05.327Z,"46km NW of Pahrump, Nevada",earthquake,,,,,automatic,nn,nn
2017-01-17T12:16:56.340Z,33.6588333,-116.735,13.37,0.33,ml,20,87,0.05501,0.13,ci,ci37569911,2017-01-17T14:38:49.267Z,"9km S of Idyllwild, CA",earthquake,0.28,0.52,0.09,9,reviewed,ci,ci
2017-01-17T12:02:39.310Z,38.8383331,-122.829834,2.02,0.68,md,7,111,0.01573,0,nc,nc72753255,2017-01-17T12:22:03.712Z,"9km W of Cobb, California",earthquake,0.41,0.99,0.11,2,automatic,nc,nc
2017-01-17T11:48:46.400Z,5.4276,94.5615,35,5.1,mwb,,26,2.383,1.19,us,us10007tps,2017-01-17T13:54:39.744Z,"85km W of Banda Aceh, Indonesia",earthquake,3.1,1.9,0.078,16,reviewed,us,us
2017-01-17T11:32:54.218Z,62.2002,-153.4789,0.1,2.3,ml,,,,0.79,ak,ak15085008,2017-01-17T11:49:19.212Z,"137km SE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-17T10:50:41.528Z,61.3388,-150.7245,44,1.8,ml,,,,0.38,ak,ak15085006,2017-01-17T11:01:05.494Z,"45km WSW of Big Lake, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-01-17T10:41:14.950Z,29.6,51.497,10,4.8,mb,,122,6.247,0.97,us,us10007tpm,2017-01-17T11:35:39.040Z,"15km W of Kazerun, Iran",earthquake,9.4,1.9,0.07,63,reviewed,us,us
2017-01-17T10:40:22.800Z,17.8903,-65.6461,11,1.6,Md,3,280.8,0.22278219,0.23,pr,pr17017005,2017-01-17T12:15:56.626Z,"27km ESE of Emajagua, Puerto Rico",earthquake,1.5,1.8,0,2,reviewed,pr,pr
2017-01-17T10:18:54.700Z,17.86,-65.6157,17,1.8,Md,4,284.4,0.24344344,0.07,pr,pr17017004,2017-01-17T11:56:29.177Z,"30km SSW of Esperanza, Puerto Rico",earthquake,1,1.3,0,4,reviewed,pr,pr
2017-01-17T10:07:47.270Z,38.8236656,-122.8059998,2.52,0.63,md,10,109,0.003194,0.02,nc,nc72753240,2017-01-17T10:23:02.464Z,"6km NW of The Geysers, California",earthquake,0.57,0.71,0.11,2,automatic,nc,nc
2017-01-17T10:04:36.547Z,58.0996,-157.2034,0,3.1,ml,,,,0.62,ak,ak15084485,2017-01-17T10:15:34.464Z,"72km SSW of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-17T09:59:19.300Z,17.8612,-65.6447,14,1.9,Md,3,288,0.24973165,0.07,pr,pr17017003,2017-01-17T11:44:42.839Z,"29km ESE of Emajagua, Puerto Rico",earthquake,1,7.5,0,3,reviewed,pr,pr
2017-01-17T09:57:34.160Z,33.291,-115.6931667,2.16,1.67,ml,27,116,0.07002,0.27,ci,ci37569879,2017-01-17T10:08:11.930Z,"8km SSE of Bombay Beach, CA",earthquake,0.48,0.86,0.202,28,automatic,ci,ci
2017-01-17T09:22:02.520Z,-56.8549,-26.0493,91.68,5.1,mb,,219,17.254,0.75,us,us10007tmm,2017-01-17T09:40:37.040Z,"72km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,20.9,12.9,0.108,28,reviewed,us,us
2017-01-17T09:14:44.656Z,58.2437,-136.8174,4.8,2.3,ml,,,,0.63,ak,ak15084063,2017-01-17T09:19:49.243Z,"66km WSW of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-17T09:09:58.580Z,33.2786667,-116.1428333,3.76,0.82,ml,16,151,0.1266,0.23,ci,ci37569863,2017-01-17T09:13:20.868Z,"15km N of Ocotillo Wells, CA",earthquake,0.63,2.73,0.159,16,automatic,ci,ci
2017-01-17T09:08:02.020Z,19.8621,-76.5937,11.03,5.4,mb,,28,1.396,1.22,us,us10007tmh,2017-01-17T13:39:37.324Z,"43km S of Guisa, Cuba",earthquake,6.9,4.2,0.023,661,reviewed,us,us
2017-01-17T09:04:43.530Z,19.3990002,-155.2821655,2.88,2.09,md,11,85,0.008819,0.24,hv,hv61566221,2017-01-17T09:07:58.770Z,"5km SW of Volcano, Hawaii",earthquake,0.53,0.57,0.06,6,automatic,hv,hv
2017-01-17T08:53:56.293Z,65.2032,-151.0284,2.6,2.4,ml,,,,0.86,ak,ak15084055,2017-01-17T09:12:33.479Z,"29km NW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T08:52:22.920Z,37.4153328,-118.4688339,8.02,1.19,md,9,122,0.03471,0.03,nc,nc72753230,2017-01-17T09:08:02.272Z,"5km NW of Dixon Lane-Meadow Creek, California",earthquake,0.36,1.21,0.08,5,automatic,nc,nc
2017-01-17T08:47:09.740Z,33.4965,-116.542,11.78,0.59,ml,23,81,0.05034,0.16,ci,ci37569855,2017-01-17T08:50:57.459Z,"14km ESE of Anza, CA",earthquake,0.32,0.47,0.148,18,automatic,ci,ci
2017-01-17T08:47:02.860Z,36.535,-98.9661,3.89,2.5,mb_lg,,111,0.103,0.46,us,us10007tmd,2017-01-17T13:45:20.592Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.9,6.1,0.089,33,reviewed,us,us
2017-01-17T08:36:47.890Z,38.8383331,-122.8303299,2.15,1.35,md,21,54,0.004036,0.02,nc,nc72753225,2017-01-17T08:52:03.243Z,"9km W of Cobb, California",earthquake,0.23,0.4,0.13,5,automatic,nc,nc
2017-01-17T08:19:14.970Z,38.8383331,-122.8326645,2.7,1.5,md,25,56,0.002219,0.06,nc,nc72753220,2017-01-17T08:35:02.211Z,"9km W of Cobb, California",earthquake,0.26,0.49,0.12,9,automatic,nc,nc
2017-01-17T08:11:08.230Z,33.3301667,-115.6591667,11.05,1.22,ml,8,186,0.06593,0.21,ci,ci37569839,2017-01-17T08:14:44.984Z,"7km ESE of Bombay Beach, CA",earthquake,2.18,2.52,0.216,21,automatic,ci,ci
2017-01-17T08:03:18.944Z,58.2578,-136.6186,1.2,2.3,ml,,,,0.66,ak,ak15084053,2017-01-17T08:08:16.862Z,"54km WSW of Gustavus, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-01-17T08:02:46.010Z,38.8375015,-122.7731705,1.46,1.05,md,17,85,0.005683,0.02,nc,nc72753215,2017-01-17T08:19:02.186Z,"4km WNW of Cobb, California",earthquake,0.28,0.31,0.06,5,automatic,nc,nc
2017-01-17T07:47:08.680Z,37.4143333,-118.4696655,8.53,1.32,md,9,123,0.03572,0.01,nc,nc72753210,2017-01-17T08:08:02.145Z,"5km WNW of Dixon Lane-Meadow Creek, California",earthquake,0.34,1.23,0.47,6,automatic,nc,nc
2017-01-17T07:46:20.450Z,22.0455,143.7031,121.76,4.7,mb,,102,5.214,0.69,us,us10007tm6,2017-01-17T08:04:43.040Z,"207km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.2,7,0.061,82,reviewed,us,us
2017-01-17T07:41:48.170Z,38.7680016,-122.9593353,3.63,1.61,md,11,105,0.04343,0.17,nc,nc72753205,2017-01-17T07:56:02.130Z,"6km SE of Cloverdale, California",earthquake,0.83,2.5,0.2,9,automatic,nc,nc
2017-01-17T07:36:01.114Z,61.6488,-146.1271,28.3,1.9,ml,,,,0.39,ak,ak15084052,2017-01-17T07:42:18.164Z,"58km NNE of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T07:13:45.430Z,36.0185013,-120.5820007,3.68,1.57,md,20,115,0.0379,0.06,nc,nc72753200,2017-01-17T07:36:02.090Z,"24km SW of Coalinga, California",earthquake,0.3,0.56,0.2,13,automatic,nc,nc
2017-01-17T07:12:26.706Z,60.1374,-152.9958,124.9,2.2,ml,,,,0.17,ak,ak15083651,2017-01-17T07:17:50.818Z,"41km SSW of Redoubt Volcano, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-01-17T06:59:13.616Z,61.6179,-149.6456,32.2,2.1,ml,,,,0.68,ak,ak15083646,2017-01-17T07:10:05.149Z,"2km WSW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-17T06:56:41.156Z,63.7655,-152.1524,14.4,2.1,ml,,,,0.62,ak,ak15083643,2017-01-17T07:10:04.905Z,"156km S of Tanana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-17T06:47:37.520Z,33.625,-116.6606667,13.85,0.37,ml,13,95,0.05259,0.06,ci,ci37569823,2017-01-17T06:51:18.054Z,"8km N of Anza, CA",earthquake,0.24,0.53,0.123,6,automatic,ci,ci
2017-01-17T06:26:25.050Z,57.8796,-155.4604,98.1,2.4,ml,,,,0.35,ak,ak15083640,2017-01-17T06:35:49.977Z,"96km WNW of Larsen Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-17T06:09:22.200Z,19.3232,-65.196,25,3.1,Md,5,316.8,1.01329964,0.36,pr,pr17017002,2017-01-17T08:02:09.909Z,"112km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.6,30.7,0,4,reviewed,pr,pr
2017-01-17T06:01:10.810Z,35.6233333,-118.155,12.05,1.82,ml,27,65,0.08732,0.13,ci,ci37569815,2017-01-17T06:48:18.075Z,"28km ESE of Kernville, CA",earthquake,0.19,0.54,0.333,27,automatic,ci,ci
2017-01-17T05:45:08.210Z,38.8361664,-122.7751694,1.84,0.54,md,10,94,0.006497,0.03,nc,nc72753170,2017-01-17T06:01:02.893Z,"4km WNW of Cobb, California",earthquake,0.32,0.44,0.13,4,automatic,nc,nc
2017-01-17T05:39:38.640Z,33.2541667,-116.4051667,4.91,0.68,ml,19,90,0.01723,0.23,ci,ci37569807,2017-01-17T05:43:24.592Z,"3km W of Borrego Springs, CA",earthquake,0.49,0.44,0.194,14,automatic,ci,ci
2017-01-17T05:28:03.000Z,17.8985,-65.6295,6,3.5,Md,16,180,0.20930746,0.2,pr,pr17017001,2017-01-17T07:31:26.557Z,"27km SW of Esperanza, Puerto Rico",earthquake,0.5,0.6,0,15,reviewed,pr,pr
2017-01-17T05:03:09.950Z,34.7731667,-120.0248333,0.46,1.39,ml,15,47,0.05404,0.26,ci,ci37569799,2017-01-17T05:06:41.795Z,"14km NE of Los Olivos, CA",earthquake,0.53,31.61,0.116,17,automatic,ci,ci
2017-01-17T05:01:55.970Z,37.4883347,-119.3773346,1.43,2.01,md,8,107,0.1709,0.08,nc,nc72753160,2017-01-17T05:06:01.776Z,"29km NE of Oakhurst, California",earthquake,0.81,6.12,0.24,7,automatic,nc,nc
2017-01-17T04:59:12.413Z,63.261,-149.0254,68.9,1.6,ml,,,,0.87,ak,ak15083235,2017-01-17T05:19:16.391Z,"15km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-17T04:47:20.810Z,33.513,-116.542,7.95,0.42,ml,22,80,0.05351,0.19,ci,ci37569783,2017-01-17T04:51:04.621Z,"13km ESE of Anza, CA",earthquake,0.39,0.62,0.118,11,automatic,ci,ci
2017-01-17T04:37:35.640Z,38.8068352,-122.7411652,1.28,0.89,md,10,81,0.0127,0.01,nc,nc72753145,2017-01-17T04:53:02.753Z,"2km SW of Cobb, California",earthquake,0.3,1.4,0.02,3,automatic,nc,nc
2017-01-17T04:23:40.977Z,61.3256,-150.4509,40.1,2.2,ml,,,,0.55,ak,ak15083229,2017-01-17T04:30:12.664Z,"31km WNW of Anchorage, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-17T04:21:38.720Z,33.6595,-116.7238333,13.93,0.54,ml,19,82,0.05216,0.11,ci,ci37569775,2017-01-17T04:25:25.763Z,"9km S of Idyllwild, CA",earthquake,0.31,0.49,0.071,11,automatic,ci,ci
2017-01-17T04:14:32.280Z,38.4263,-118.9008,19.3,1.5,ml,9,157.45,0.365,,nn,nn00574360,2017-01-17T04:15:58.299Z,"26km WSW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-01-17T04:10:50.096Z,58.1947,-136.6411,13,3.4,ml,,,,0.81,ak,ak15083226,2017-01-17T04:20:56.156Z,"58km WSW of Gustavus, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-17T03:59:51.090Z,33.2425,-116.6658333,9.14,0.53,ml,14,78,0.04595,0.19,ci,ci37569759,2017-01-17T04:03:33.133Z,"5km SW of Warner Springs, CA",earthquake,0.42,0.86,0.212,10,automatic,ci,ci
2017-01-17T03:46:43.909Z,38.4299,-118.9011,6.1,1.2,ml,10,131.97,0.11,0.1382,nn,nn00574356,2017-01-17T06:25:51.498Z,"26km WSW of Hawthorne, Nevada",earthquake,,3.3,0.13,7,reviewed,nn,nn
2017-01-17T03:44:55.739Z,38.4333,-118.9034,7.3,1,ml,9,200.51,0.111,0.1357,nn,nn00574365,2017-01-17T06:19:35.878Z,"26km WSW of Hawthorne, Nevada",earthquake,,2.4,0.18,5,reviewed,nn,nn
2017-01-17T03:21:26.724Z,61.9993,-150.8172,0,1.7,ml,,,,0.63,ak,ak15083225,2017-01-17T03:27:30.243Z,"49km NW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-17T03:13:29.000Z,38.8400002,-122.828331,2.05,1.67,md,28,50,0.005763,0.05,nc,nc72753110,2017-01-17T03:29:02.588Z,"9km WNW of Cobb, California",earthquake,0.19,0.34,0.09,10,automatic,nc,nc
2017-01-17T02:59:32.600Z,18.2665,-67.2119,29,2.1,Md,7,223.2,0.15001865,0.34,pr,pr17017000,2017-01-17T03:43:13.600Z,"3km SW of La Playa, Puerto Rico",earthquake,1.5,1.9,0,4,reviewed,pr,pr
2017-01-17T02:56:32.758Z,62.0165,-150.5296,46.4,2,ml,,,,0.35,ak,ak15082825,2017-01-17T03:06:36.075Z,"38km WSW of Y, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-01-17T02:50:41.287Z,38.3836,-118.9034,7.6,0.9,ml,12,159.46,0.131,0.1661,nn,nn00574354,2017-01-17T06:13:19.946Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.6,0.47,4,reviewed,nn,nn
2017-01-17T02:44:42.250Z,33.8926667,-116.7373333,16.36,0.81,ml,27,80,0.07725,0.19,ci,ci37569751,2017-01-17T02:48:22.241Z,"5km ESE of Cabazon, CA",earthquake,0.36,0.76,0.124,20,automatic,ci,ci
2017-01-17T02:35:15.959Z,38.2896,-118.6738,6.7,1.7,ml,18,58.37,0.138,0.1602,nn,nn00574352,2017-01-17T04:04:32.184Z,"26km S of Hawthorne, Nevada",earthquake,,2.6,0.34,12,reviewed,nn,nn
2017-01-17T02:31:23.333Z,61.4741,-146.4263,35.4,1.8,ml,,,,0.55,ak,ak15082823,2017-01-17T02:39:27.752Z,"38km N of Valdez, Alaska",earthquake,,0.7,,,automatic,ak,ak
