BASKETID,SECTION,OBJECTID,the_geom,LOCATION_DESCRIPTION,BASKETTYPE,OWNERTYPE,STREETNAME1,STREETNAME2,DIRECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY
10330006,MN033,1,POINT (-73.97850360777177 40.72060945312904),SW corner of AV D and E 3 ST,High-End Basket,DSNY-owned,AV D,E 3 ST,SW,990209.09469722,201811.70797497,990252.54375731,201829.86181004
10210082,MN021,2,POINT (-74.00856757191852 40.72804828979953),SE corner of GREENWICH ST and KING ST,Standard Wire Basket,DSNY-owned,GREENWICH ST,KING ST,SE,981875.77770248,204521.29081038,981851.05137397,204548.20611088
10210083,MN021,3,POINT (-74.00294121399216 40.721819829336276),SE corner of GRAND ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,GRAND ST,WOOSTER ST,SE,983435.12596172,202251.96792121,983429.18798147,202292.18043922
10220042,MN022,4,POINT (-73.9998772884784 40.73417458273537),W corner of GREENWICH AV and CHRISTOPHER ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHRISTOPHER ST,W,984284.40936814,206753.17414188,984317.09959148,206728.33626504
10220043,MN022,5,POINT (-74.00135935398937 40.73665071690176),W corner of GREENWICH AV and W 11 ST,High-End Basket,DSNY-owned,GREENWICH AV,W 11 ST,W,983873.68578014,207655.31046097,983915.10564481,207633.30164671
10210086,MN021,6,POINT (-74.00838771267115 40.729038118969534),NE corner of GREENWICH ST and W HOUSTON ST,Standard Wire Basket,DSNY-owned,GREENWICH ST,W HOUSTON ST,NE,981925.66277331,204881.91148022,981898.72844398,204857.44433755
10220045,MN022,7,POINT (-74.0004580510892 40.735191596804796),S corner of GREENWICH AV and CHARLES ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHARLES ST,S,984123.45955882,207123.7045688,984134.69838148,207150.3501848
10210087,MN021,8,POINT (-74.00300435775358 40.72217932646777),NW corner of GRAND ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,GRAND ST,WOOSTER ST,NW,983417.62763715,202382.94436529,983423.36122148,202345.13013646
10220046,MN022,9,POINT (-74.000580504704 40.73539040680755),W corner of GREENWICH AV and CHARLES ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHARLES ST,W,984089.52393115,207196.1374948,984123.48121232,207184.44427672
10220047,MN022,10,POINT (-74.00022889341437 40.73479142702327),W corner of GREENWICH AV and W 10 ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,W 10 ST,W,984186.96664965,206977.90991288,984224.02891147,206954.91061504
10210088,MN021,11,POINT (-74.00108819629577 40.72400375773901),SE corner of SPRING ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,SPRING ST,WOOSTER ST,SE,983948.77388457,203047.62840338,983942.97304314,203086.41769588
10210090,MN021,12,POINT (-74.0008829615967 40.72423810896642),NE corner of SPRING ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,SPRING ST,WOOSTER ST,NE,984005.66189414,203133.00913814,983961.20463398,203117.02787088
10220048,MN022,13,POINT (-74.00008462980513 40.734552418867366),S corner of GREENWICH AV and W 10 ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,W 10 ST,S,984226.94721273,206890.83167496,984237.19817647,206924.43495421
10220049,MN022,14,POINT (-74.00220914833044 40.73425454109017),E corner of 7 AV S and W 10 ST,Standard Wire Basket,DSNY-owned,7 AV S,W 10 ST,E,983638.16164489,206782.31319122,983615.80407806,206803.32003896
